government-organisation	name	website	type	start-date	end date
committee-on-toxicity-of-chemicals-in-food-consumer-products-and-the-environment	"Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment"	government/organisations/committee-on-toxicity-of-chemicals-in-food-consumer-products-and-the-environment	Advisory non-departmental public body		
commonwealth-scholarship-commission-in-the-uk	Commonwealth Scholarship Commission in the UK	government/organisations/commonwealth-scholarship-commission-in-the-uk	Executive non-departmental public body		
community-development-foundation	Community Development Foundation	government/organisations/community-development-foundation	Other		
community-fund	Community Fund	government/organisations/community-fund	Other		30/11/2006
companies-court	Companies Court	courts-tribunals/companies-court	Court		
companies-house	Companies House	government/organisations/companies-house	Executive agency		
company-names-tribunal	Company Names Tribunal	government/organisations/company-names-tribunal	Other		
compensation-agency	Compensation Agency	government/organisations/compensation-agency	Executive agency		
competition-and-markets-authority	Competition and Markets Authority	government/organisations/competition-and-markets-authority	Non-ministerial department		
competition-appeal-tribunal	Competition Appeal Tribunal	government/organisations/competition-appeal-tribunal	Tribunal non-departmental public body		
competition-commission	Competition Commission	government/organisations/competition-commission	Executive non-departmental public body		01/04/2014
competition-service	Competition Service	government/organisations/competition-service	Executive non-departmental public body		
construction-industry-training-board	Construction Industry Training Board	government/organisations/construction-industry-training-board	Executive non-departmental public body		
consumer-council-for-postal-services	Consumer Council for Postal Services	government/organisations/consumer-council-for-postal-services	Other		
consumer-council-for-water	Consumer Council for Water	government/organisations/consumer-council-for-water	Executive non-departmental public body		
consumer-focus	Consumer Futures	government/organisations/consumer-focus	Executive non-departmental public body		01/04/2014
cooksey-review	Cooksey Review	government/organisations/cooksey-review	Other		
copyright-tribunal	Copyright Tribunal	government/organisations/copyright-tribunal	Tribunal non-departmental public body		
corby-education-action-zone	Corby Education Action Zone	government/organisations/corby-education-action-zone	Other		
council-for-catholic-maintained-schools	Council for Catholic Maintained Schools	government/organisations/council-for-catholic-maintained-schools	Other		
council-for-healthcare-regulatory-excellence	Council for Healthcare Regulatory Excellence	government/organisations/council-for-healthcare-regulatory-excellence	Other		2012
council-for-science-and-technology	Council for Science and Technology	government/organisations/council-for-science-and-technology	Advisory non-departmental public body		
council-for-the-central-laboratory-of-the-research-councils	Council for the Central Laboratory of the Research Councils	government/organisations/council-for-the-central-laboratory-of-the-research-councils	Other		01/04/2007
council-on-tribunals	Council on Tribunals	government/organisations/council-on-tribunals	Tribunal non-departmental public body		
counter-fraud-and-security-management-service	Counter Fraud and Security Management Service	government/organisations/counter-fraud-and-security-management-service	Sub-organisation		
countryside-agency	Countryside Agency	government/organisations/countryside-agency	Executive agency		02/10/2006
court-of-appeal-civil-division	Court of Appeal Civil Division	courts-tribunals/court-of-appeal-civil-division	Court		
court-of-appeal-criminal-division	Court of Appeal Criminal Division	courts-tribunals/court-of-appeal-criminal-division	Court		
court-of-judicature-of-northern-ireland	Court of Judicature of Northern Ireland	government/organisations/court-of-judicature-of-northern-Ireland	Other		
court-of-protection	Court of Protection	courts-tribunals/court-of-protection	Court		
covent-garden-market-authority	Covent Garden Market Authority	government/organisations/covent-garden-market-authority	Other		
coventry-education-action-zone	Coventry Education Action Zone	government/organisations/coventry-education-action-zone	Other		
creative-scotland	Creative Scotland	government/organisations/creative-Scotland	Other		
criminal-cases-review-commission	Criminal Cases Review Commission	government/organisations/criminal-cases-review-commission	Executive non-departmental public body		
criminal-injuries-compensation-appeals-panel	Criminal Injuries Compensation Appeals Panel	government/organisations/criminal-injuries-compensation-appeals-panel	Other		
criminal-injuries-compensation-appeals-panel-for-northern-ireland	Criminal Injuries Compensation Appeals Panel for Northern Ireland	government/organisations/criminal-injuries-compensation-appeals-panel-for-northern-Ireland	Executive agency		
criminal-injuries-compensation-authority	Criminal Injuries Compensation Authority	government/organisations/criminal-injuries-compensation-authority	Executive agency		
criminal-justice-inspection-northern-ireland	Criminal Justice Inspection Northern Ireland	government/organisations/criminal-justice-inspection-northern-Ireland	Other		closed
criminal-procedure-rule-committee	Criminal Procedure Rule Committee	government/organisations/criminal-procedure-rule-committee	Advisory non-departmental public body		
criminal-records-bureau	Criminal Records Bureau	government/organisations/criminal-records-bureau	Other		01/12/2012
crown-agents-holding-and-realisation-board	Crown Agents Holding and Realisation Board	government/organisations/crown-agents-holding-and-realisation-board	Other		31/03/2008
crown-commercial-service	Crown Commercial Service	government/organisations/crown-commercial-service	Executive agency		
crown-prosecution-service	Crown Prosecution Service	government/organisations/crown-prosecution-service	Non-ministerial department		
dartmoor-national-park-authority	Dartmoor National Park Authority	government/organisations/dartmoor-national-park-authority	Other		
deepcut-review	Deepcut Review	government/organisations/deepcut-review	Other		
defence-academy	Defence Academy of the United Kingdom	government/organisations/defence-academy	Other		
defence-analytical-services-agency	Defence Analytical Services Agency	government/organisations/defence-analytical-services-agency	Executive agency		01/04/2008
defence-and-security-accelerator	Defence and Security Accelerator	government/organisations/defence-and-security-accelerator	Sub-organisation		
defence-and-security-media-advisory-committee	Defence and Security Media Advisory Committee	government/organisations/defence-and-security-media-advisory-committee	Other		
defence-aviation-repair-agency	Defence Aviation Repair Agency	government/organisations/defence-aviation-repair-agency	Executive agency		01/04/2008
defence-bills-agency	Defence Bills Agency	government/organisations/defence-bills-agency	Executive agency		01/04/2007
defence-communication-services-agency	Defence Communication Services Agency	government/organisations/defence-communication-services-agency	Executive agency		
defence-electronics-and-components-agency	Defence Electronics and Components Agency	government/organisations/defence-electronics-and-components-agency	Executive agency		
defence-equipment-and-support	Defence Equipment and Support	government/organisations/defence-equipment-and-support	Sub-organisation		
defence-estates	Defence Estates	government/organisations/defence-estates	Other		01/04/2011
defence-infrastructure-organisation	Defence Infrastructure Organisation	government/organisations/defence-infrastructure-organisation	Sub-organisation		
defence-intelligence-and-security-centre	Defence Intelligence and Security Centre	government/organisations/defence-intelligence-and-security-centre	Other		
defence-medical-education-and-training-agency	Defence Medical Education and Training Agency	government/organisations/defence-medical-education-and-training-agency	Executive agency		01/04/2008
defence-nuclear-safety-committee	Defence Nuclear Safety Committee	government/organisations/defence-nuclear-safety-committee	Advisory non-departmental public body		
defence-press-and-broadcasting-advisory-committee	"Defence, Press and Broadcasting Advisory Committee"	government/organisations/defence-press-and-broadcasting-advisory-committee	Other		
defence-procurement-agency	Defence Procurement Agency	government/organisations/defence-procurement-agency	Executive agency		01/04/2007
defence-safety-authority	Defence Safety Authority	government/organisations/defence-safety-authority	Sub-organisation		
defence-science-and-technology-laboratory	Defence Science and Technology Laboratory	government/organisations/defence-science-and-technology-laboratory	Executive agency		
defence-scientific-advisory-council	Defence Scientific Advisory Council	government/organisations/defence-scientific-advisory-council	Advisory non-departmental public body		
defence-sixth-form-college	Defence Sixth Form College	government/organisations/defence-sixth-form-college	Other		
defence-storage-and-distribution-agency	Defence Storage and Distribution Agency	government/organisations/defence-storage-and-distribution-agency	Executive agency		01/04/2009
defence-support-group	Defence Support Group	government/organisations/defence-support-group	Executive agency		31/03/2015
defence-transport-and-movements-agency	Defence Transport and Movements Agency	government/organisations/defence-transport-and-movements-agency	Executive agency		01/04/2007
defence-vetting-agency	Defence Vetting Agency	government/organisations/defence-vetting-agency	Executive agency		01/04/2012
dental-practice-board	Dental Practice Board	government/organisations/dental-practice-board	Other		31/03/2006
